"geoid","USPS","pop2019est"
"02282","AK",649
"02060","AK",875
"02230","AK",1107
"02164","AK",1393
"02105","AK",2139
"02068","AK",2246
"02275","AK",2502
"02100","AK",2518
"02195","AK",3257
"02013","AK",3385
"02070","AK",4961
"02290","AK",5377
"02016","AK",5698
"02198","AK",6407
"02240","AK",6878
"02188","AK",7715
"02158","AK",8250
"02220","AK",8640
"02261","AK",9243
"02185","AK",9792
"02180","AK",9988
"02150","AK",13451
"02130","AK",13800
"02050","AK",18134
"02110","AK",32227
"02122","AK",58464
"02090","AK",99072
"02170","AK",105369
"02020","AK",293531
